depmap_id,log_copy_number,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000156,1.005889974390786,1017,CDK2,MHH-CALL-4,Leukemia,blood,ALL,</br><b>Cell Line:</b> MHH-CALL-4</br><b>log2(Copy Number):</b> 1.006</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000102,0.7558985427334945,1017,CDK2,GMS-10,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> GMS-10</br><b>log2(Copy Number):</b> 0.756</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-001554,0.9434693770460524,1017,CDK2,mel-202,Eye Cancer,eye,uveal_melanoma,</br><b>Cell Line:</b> mel-202</br><b>log2(Copy Number):</b> 0.943</br><b>Lineage:</b> eye</br><b>Disease:</b> Eye Cancer
ACH-000566,0.9614356177594324,1017,CDK2,SW-1710,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> SW-1710</br><b>log2(Copy Number):</b> 0.961</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-002377,1.0058116587041717,1017,CDK2,HCC38BL,Unknown,unknown,NA,</br><b>Cell Line:</b> HCC38BL</br><b>log2(Copy Number):</b> 1.006</br><b>Lineage:</b> unknown</br><b>Disease:</b> Unknown
ACH-000618,0.9972655962397784,1017,CDK2,SNU-1041,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> SNU-1041</br><b>log2(Copy Number):</b> 0.997</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-001442,1.0005501048385086,1017,CDK2,A388,Skin Cancer,epidermoid_carcinoma,skin_squamous,</br><b>Cell Line:</b> A388</br><b>log2(Copy Number):</b> 1.001</br><b>Lineage:</b> epidermoid_carcinoma</br><b>Disease:</b> Skin Cancer
ACH-000649,1.0273764161184098,1017,CDK2,786-O,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> 786-O</br><b>log2(Copy Number):</b> 1.027</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000017,1.0968695245939857,1017,CDK2,SK-BR-3,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> SK-BR-3</br><b>log2(Copy Number):</b> 1.097</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000124,0.9957537673432536,1017,CDK2,OCI-LY-19,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> OCI-LY-19</br><b>log2(Copy Number):</b> 0.996</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-002123,1.0449949855247138,1017,CDK2,H2369,Lung Cancer,lung,mesothelioma,</br><b>Cell Line:</b> H2369</br><b>log2(Copy Number):</b> 1.045</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000175,1.0072898249012727,1017,CDK2,NA,Fibroblast,fibroblast,fibroblast_soft_tissue,</br><b>Cell Line:</b> NA</br><b>log2(Copy Number):</b> 1.007</br><b>Lineage:</b> fibroblast</br><b>Disease:</b> Fibroblast
ACH-001399,1.0527913770371808,1017,CDK2,SW 626,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> SW 626</br><b>log2(Copy Number):</b> 1.053</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-002092,0.9797811955242492,1017,CDK2,CHSA0011,Bone Cancer,bone,chondrosarcoma,</br><b>Cell Line:</b> CHSA0011</br><b>log2(Copy Number):</b> 0.980</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
ACH-000948,0.9903137367336332,1017,CDK2,23132/87,Gastric Cancer,gastric,gastric_adenocarcinoma,</br><b>Cell Line:</b> 23132/87</br><b>log2(Copy Number):</b> 0.990</br><b>Lineage:</b> gastric</br><b>Disease:</b> Gastric Cancer
ACH-001850,1.0357010852155752,1017,CDK2,G415,Gallbladder Cancer,bile_duct,gallbladder_adenocarcinoma,</br><b>Cell Line:</b> G415</br><b>log2(Copy Number):</b> 1.036</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Gallbladder Cancer
ACH-002384,1.0024555862549525,1017,CDK2,HCC1954BL,Unknown,unknown,NA,</br><b>Cell Line:</b> HCC1954BL</br><b>log2(Copy Number):</b> 1.002</br><b>Lineage:</b> unknown</br><b>Disease:</b> Unknown
ACH-000165,1.0049298943988807,1017,CDK2,NA,Fibroblast,fibroblast,fibroblast_lymphocyte,</br><b>Cell Line:</b> NA</br><b>log2(Copy Number):</b> 1.005</br><b>Lineage:</b> fibroblast</br><b>Disease:</b> Fibroblast
ACH-002142,0.86018646848504,1017,CDK2,HuO-3N1,Bone Cancer,bone,osteosarcoma,</br><b>Cell Line:</b> HuO-3N1</br><b>log2(Copy Number):</b> 0.860</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
ACH-002308,0.9949942146482476,1017,CDK2,SUP-B8,Leukemia,blood,ALL,</br><b>Cell Line:</b> SUP-B8</br><b>log2(Copy Number):</b> 0.995</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-001061,1.0177701096293,1017,CDK2,DLD-1,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> DLD-1</br><b>log2(Copy Number):</b> 1.018</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-002251,1.008852997316788,1017,CDK2,JHU-029,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> JHU-029</br><b>log2(Copy Number):</b> 1.009</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-000022,1.1167142909586725,1017,CDK2,PA-TU-8988S,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> PA-TU-8988S</br><b>log2(Copy Number):</b> 1.117</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000038,1.0037819441192697,1017,CDK2,EHEB,Lymphoma,lymphocyte,lymphoma_unspecified,</br><b>Cell Line:</b> EHEB</br><b>log2(Copy Number):</b> 1.004</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000235,1.1021163149122466,1017,CDK2,Panc 04.03,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> Panc 04.03</br><b>log2(Copy Number):</b> 1.102</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000014,1.0564115102765284,1017,CDK2,Hs 294T,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> Hs 294T</br><b>log2(Copy Number):</b> 1.056</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000094,1.3178815859784707,1017,CDK2,HPAF-II,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> HPAF-II</br><b>log2(Copy Number):</b> 1.318</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000496,0.7707997130091491,1017,CDK2,NCI-H1792,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1792</br><b>log2(Copy Number):</b> 0.771</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000505,0.957932782336016,1017,CDK2,RKN,Sarcoma,soft_tissue,leiomyosarcoma,</br><b>Cell Line:</b> RKN</br><b>log2(Copy Number):</b> 0.958</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Sarcoma
ACH-002352,1.0045817524042129,1017,CDK2,LB1047EBV,Unknown,unknown,NA,</br><b>Cell Line:</b> LB1047EBV</br><b>log2(Copy Number):</b> 1.005</br><b>Lineage:</b> unknown</br><b>Disease:</b> Unknown
ACH-000798,1.2974423745332242,1017,CDK2,CL-40,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> CL-40</br><b>log2(Copy Number):</b> 1.297</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000178,0.8951840002099429,1017,CDK2,Hs 766T,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> Hs 766T</br><b>log2(Copy Number):</b> 0.895</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000125,1.0052229200514735,1017,CDK2,TO 175.T,Fibroblast,fibroblast,fibroblast_lymphocyte,</br><b>Cell Line:</b> TO 175.T</br><b>log2(Copy Number):</b> 1.005</br><b>Lineage:</b> fibroblast</br><b>Disease:</b> Fibroblast
ACH-001016,0.8601959000144648,1017,CDK2,Becker,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> Becker</br><b>log2(Copy Number):</b> 0.860</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000116,1.1167961992315494,1017,CDK2,OAW28,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> OAW28</br><b>log2(Copy Number):</b> 1.117</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-002270,0.9861620086283186,1017,CDK2,MC-CAR,Non-Cancerous,engineered,NA,</br><b>Cell Line:</b> MC-CAR</br><b>log2(Copy Number):</b> 0.986</br><b>Lineage:</b> engineered</br><b>Disease:</b> Non-Cancerous
