depmap_id,dependency,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000211,-0.6709671311565104,1017,CDK2,Daoy,Brain Cancer,central_nervous_system,medulloblastoma,</br><b>Cell Line:</b> Daoy</br><b>Dependency:</b> -0.671</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000212,-0.38132196659627626,1017,CDK2,CAL-120,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> CAL-120</br><b>Dependency:</b> -0.381</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000213,-0.8347469797648659,1017,CDK2,HUP-T4,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> HUP-T4</br><b>Dependency:</b> -0.835</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000215,-0.24540640878757736,1017,CDK2,LN382,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> LN382</br><b>Dependency:</b> -0.245</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000216,-0.3169606385625513,1017,CDK2,JH-EsoAd1,Esophageal Cancer,esophagus,esophagus_adenocarcinoma,</br><b>Cell Line:</b> JH-EsoAd1</br><b>Dependency:</b> -0.317</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
ACH-000217,-0.729864539501494,1017,CDK2,JHH-6,Liver Cancer,liver,hepatocellular_carcinoma,</br><b>Cell Line:</b> JHH-6</br><b>Dependency:</b> -0.730</br><b>Lineage:</b> liver</br><b>Disease:</b> Liver Cancer
ACH-000219,-0.2218796943424674,1017,CDK2,A-375,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> A-375</br><b>Dependency:</b> -0.222</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000221,-0.6222116531517905,1017,CDK2,SNU-398,Liver Cancer,liver,hepatocellular_carcinoma,</br><b>Cell Line:</b> SNU-398</br><b>Dependency:</b> -0.622</br><b>Lineage:</b> liver</br><b>Disease:</b> Liver Cancer
ACH-000222,-0.7169766364553576,1017,CDK2,AsPC-1,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> AsPC-1</br><b>Dependency:</b> -0.717</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000223,-1.413021618146821,1017,CDK2,HCC1937,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> HCC1937</br><b>Dependency:</b> -1.413</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
